tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,adult,video,status,poster_path,backdrop_path,homepage,genres,genre_ids,production_companies,production_countries,spoken_languages,cast,directors,writers
1562,tt0463854,28 Weeks Later,28 Weeks Later,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",When days turn to weeks...,2007-04-26,100,15000000,65048725,61.7323,6.618,4755,False,False,Released,/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,/83ownpZPvBHJD5UVNShzQfa3LaW.jpg,,HORROR|THRILLER|SCIENCE_FICTION,27|53|878,DNA Films|Figment Films|UK Film Council|Fox Atomic|Koan|Sogecine,United Kingdom|Spain|United States of America,English,,,
166428,tt2386490,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",The friendship of a lifetime.,2019-01-03,104,129000000,539987993,52.3574,7.75,6672,False,False,Released,/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,/h3KN24PrOheHVYs9ypuOIdFBEpX.jpg,https://www.howtotrainyourdragon.com/,ANIMATION|FAMILY|ADVENTURE,16|10751|12,DreamWorks Animation|Mad Hatter Entertainment,United States of America,English,,,
539,tt0054215,Psycho,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",A new and altogether different screen excitement!,1960-06-22,109,806947,50048065,10.2875,8.4,10411,False,False,Released,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg,,HORROR|THRILLER|MYSTERY,27|53|9648,Shamley Productions,United States of America,English,,,
1045021,tt23398540,Thug Life,தக் லைஃப்,"In a world ruled by crime and betrayal, mafia kingpin Sakthivel and his brother Manikkam rescue a young boy, Amaran, during a violent police shootout and raise him as their own. Years later, when an assassination attempt shakes Sakthivel's empire, suspicion turns inward. Consumed by vengeance, Sakthivel sets out to destroy the very family he once built.",,2025-06-04,165,35000000,0,6.1121,5.273,11,False,False,Released,/DmBbUtbA3T9sdVXDgIJ8bsIDw0.jpg,/of9YQ9XE2aUVbiorECRnFCu5iIn.jpg,,ACTION|CRIME|DRAMA,28|80|18,Raajkamal Films International|Madras Talkies|Red Giant Movies,India,हिन्दी|தமிழ்,,,
533535,tt6263850,Deadpool & Wolverine,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Come together.,2024-07-24,128,200000000,1338073645,43.0524,7.591,7410,False,False,Released,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,https://www.marvel.com/movies/deadpool-and-wolverine,ACTION|COMEDY|SCIENCE_FICTION,28|35|878,Marvel Studios|Maximum Effort|21 Laps Entertainment|20th Century Studios|Kevin Feige Productions|TSG Entertainment,United States of America,English,,,
1232933,tt13098590,Fear Below,Fear Below,A rag-tag team of divers attempting to salvage a sunken car from a river are thwarted by a highly aggressive bull shark.,You won't see it coming,2025-05-02,85,0,0,37.5128,6.623,69,False,False,Released,/obK2G8huZWeAQEgOz1I47AkzHYh.jpg,/hr3yzjzfsiNxWqlDgRTSHgYB7fz.jpg,,HORROR|ACTION|ADVENTURE|THRILLER,27|28|12|53,Odin's Eye Entertainment|Bronte Pictures|Two Tone Pictures,Australia,English,,,
550,tt0137523,Fight Club,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Mischief. Mayhem. Soap.,1999-10-15,139,63000000,100853753,23.4733,8.437,30401,False,False,Released,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,/xRyINp9KfMLVjRiO5nCsoRDdvvF.jpg,http://www.foxmovies.com/movies/fight-club,DRAMA,18,Fox 2000 Pictures|Regency Enterprises|Linson Entertainment|20th Century Fox|Taurus Film,Germany|United States of America,English,,,
652837,tt12879624,"Josee, the Tiger and the Fish",ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",Together they can fly.,2020-12-25,98,0,0,3.5818,8.314,512,False,False,Released,/lNpZWdXC4HtXQ8nVo21gg7T9D6N.jpg,/i1GT0e6Crg6UezT3ibXnMS3pBAd.jpg,,ANIMATION|DRAMA|ROMANCE,16|18|10749,BONES|KADOKAWA|Shochiku|jeki|TOY'S FACTORY|KDDI|Movie Walker|TBS Radio|Sonilude,Japan,日本語,,,
666154,tt11846550,Kayara,Kayara,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",,2025-01-02,81,8000000,0,89.5035,7.688,69,False,False,Released,/tpZdjnoJ6Z3NsSxI6HjAIggrcEv.jpg,/6YaTxghwL1HFBjcj43UHlP3zv5P.jpg,http://www.cinemamanagementgroup.com/film/kayara/,ADVENTURE|ANIMATION|FAMILY,12|16|10751,Tunche Films|B-Water Animation Studios,Peru,English,,,
244786,tt2582802,Whiplash,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",The road to greatness can take you to the edge.,2014-10-10,107,3300000,50307484,15.2061,8.4,15726,False,False,Released,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,/fRGxZuo7jJUWQsVg9PREb98Aclp.jpg,https://www.sonyclassics.com//film//whiplash#,DRAMA|MUSIC,18|10402,Bold Films|Blumhouse Productions|Right of Way Films|Sony Pictures Classics,United States of America,English,,,
